timestamp,step,equity,peak_equity,drawdown_pct
1766347200000,0,10000.000000,10000.000000,0.000000
1767733200000,1,10020.465570,10020.465570,0.000000
1768593600000,2,10061.607676,10061.607676,0.000000
1768820400000,3,10025.765529,10061.607676,0.356227
1768971600000,4,9961.834564,10061.607676,0.991622
1769389200000,5,10021.053081,10061.607676,0.403063
1769770800000,6,9906.087405,10061.607676,1.545680
1770166800000,7,9892.032507,10061.607676,1.685369
1770652800000,8,9980.195935,10061.607676,0.809133
1770944400000,9,10014.956854,10061.607676,0.463652
1771351200000,10,10096.386716,10096.386716,0.000000
1771837200000,11,10240.917999,10240.917999,0.000000
1772143200000,12,10301.903875,10301.903875,0.000000
1772283600000,13,10445.340068,10445.340068,0.000000
1772881200000,14,10344.681409,10445.340068,0.963670
1772953200000,15,10352.782595,10445.340068,0.886113
